epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.785,1.5022,3.31515,1.75207,0.00339,0.81479,0.2367,0.13284,1.49419,4.00476,1.90385,0.00031438,0.00031438,0.00031438
2,457.071,1.544,2.72064,1.73,0.90243,0.05833,0.24571,0.12419,1.66134,4.09758,2.09349,0.000611219,0.000611219,0.000611219
3,684.883,1.55856,2.57704,1.69889,0.37951,0.27951,0.26072,0.13518,1.71189,3.83793,2.1427,0.00087552,0.00087552,0.00087552
4,909.182,1.59839,2.49393,1.70921,0.36326,0.37941,0.21556,0.09366,1.93557,5.53126,2.77763,0.00110728,0.00110728,0.00110728
