epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,402.102,1.27711,1.39538,1.47005,0.60985,0.59427,0.56633,0.35547,1.52615,1.80265,1.97814,0.000848969,0.000848969,0.000848969
43,411.481,1.3007,1.3656,1.50591,0.6452,0.57509,0.56485,0.32196,1.63039,1.93497,2.06506,0.000834822,0.000834822,0.000834822
44,421.494,1.28224,1.36324,1.49824,0.65405,0.55553,0.56127,0.36004,1.48969,1.87235,1.95559,0.000820675,0.000820675,0.000820675
45,430.941,1.30806,1.45788,1.50636,0.76611,0.52835,0.57307,0.38001,1.54683,1.78002,1.9566,0.000806528,0.000806528,0.000806528
46,440.684,1.25662,1.41843,1.48068,0.64884,0.56975,0.57506,0.3904,1.50946,1.79662,1.90983,0.00079238,0.00079238,0.00079238
47,450.567,1.25714,1.31269,1.47121,0.63674,0.55715,0.56474,0.38321,1.5175,1.84239,1.92255,0.000778233,0.000778233,0.000778233
48,460.138,1.22512,1.34609,1.44993,0.59745,0.51522,0.5441,0.30767,1.60993,2.17184,2.03279,0.000764086,0.000764086,0.000764086
49,470.274,1.25641,1.38773,1.49008,0.63704,0.59838,0.59568,0.36215,1.46655,1.82923,1.81838,0.000749939,0.000749939,0.000749939
50,479.867,1.27349,1.39656,1.51784,0.70343,0.57541,0.59116,0.3697,1.47146,1.64231,1.86333,0.000735792,0.000735792,0.000735792
51,489.369,1.17984,1.23272,1.44089,0.66785,0.62097,0.62327,0.4147,1.51711,1.65523,1.87984,0.000721645,0.000721645,0.000721645
52,498.946,1.24792,1.31445,1.46897,0.77506,0.58923,0.62918,0.41932,1.4267,1.64778,1.80489,0.000707498,0.000707498,0.000707498
53,508.701,1.2096,1.27003,1.45336,0.71931,0.58796,0.64487,0.40748,1.45273,1.55317,1.82273,0.000693351,0.000693351,0.000693351
54,518.33,1.12524,1.26547,1.39728,0.66857,0.59851,0.59547,0.34483,1.49789,1.71459,1.95341,0.000679204,0.000679204,0.000679204
55,527.826,1.22067,1.27679,1.45571,0.69223,0.56708,0.60469,0.37575,1.41235,1.59557,1.84113,0.000665057,0.000665057,0.000665057
56,537.598,1.20744,1.25279,1.42782,0.68773,0.59776,0.61832,0.3874,1.44829,1.60971,1.86291,0.000650909,0.000650909,0.000650909
57,547.275,1.1583,1.23599,1.39116,0.60958,0.62263,0.60336,0.40733,1.39385,1.57909,1.80449,0.000636762,0.000636762,0.000636762
58,557.261,1.17906,1.21386,1.42591,0.76655,0.56569,0.6263,0.41595,1.41486,1.44575,1.84132,0.000622615,0.000622615,0.000622615
59,566.741,1.18564,1.24903,1.46921,0.80834,0.55319,0.58969,0.36799,1.56457,1.63191,1.96783,0.000608468,0.000608468,0.000608468
60,576.278,1.16222,1.20796,1.41404,0.71913,0.60728,0.60914,0.40131,1.52661,1.58035,1.93325,0.000594321,0.000594321,0.000594321
61,585.771,1.12097,1.10951,1.39458,0.74024,0.56013,0.60399,0.42946,1.42699,1.58547,1.86,0.000580174,0.000580174,0.000580174
62,595.616,1.08599,1.11627,1.3677,0.68527,0.53913,0.59652,0.41963,1.46541,1.71136,1.87013,0.000566027,0.000566027,0.000566027
63,605.119,1.15705,1.22113,1.38542,0.75706,0.51703,0.58604,0.36961,1.50179,1.66536,1.91354,0.00055188,0.00055188,0.00055188
64,614.635,1.13647,1.13867,1.3879,0.68787,0.59225,0.60743,0.40815,1.5401,1.49969,1.90713,0.000537733,0.000537733,0.000537733
65,624.158,1.1485,1.17225,1.42039,0.63083,0.63472,0.58752,0.39192,1.48476,1.60456,1.86823,0.000523586,0.000523586,0.000523586
66,633.722,1.10542,1.15331,1.39,0.71536,0.52402,0.60165,0.39556,1.43445,1.65411,1.83668,0.000509438,0.000509438,0.000509438
67,643.219,1.09961,1.15193,1.37225,0.71541,0.54266,0.53715,0.36337,1.46437,1.73036,1.89452,0.000495291,0.000495291,0.000495291
68,652.6,1.10235,1.14226,1.35871,0.70813,0.58096,0.59113,0.39983,1.41866,1.70349,1.83154,0.000481144,0.000481144,0.000481144
69,662.688,1.08484,1.10632,1.35499,0.69256,0.57263,0.56078,0.36093,1.46723,1.84238,1.87956,0.000466997,0.000466997,0.000466997
70,672.101,1.1327,1.19595,1.39032,0.64118,0.60889,0.56073,0.36064,1.51377,1.73811,1.90848,0.00045285,0.00045285,0.00045285
71,681.821,1.10005,1.14045,1.37903,0.70048,0.60586,0.58905,0.38761,1.53141,1.59894,1.92923,0.000438703,0.000438703,0.000438703
72,691.417,1.09365,1.07727,1.3614,0.69086,0.54069,0.568,0.39269,1.45111,1.67984,1.83438,0.000424556,0.000424556,0.000424556
73,701.108,1.0316,1.07797,1.34051,0.643,0.55093,0.50659,0.34906,1.46281,1.799,1.82348,0.000410409,0.000410409,0.000410409
74,710.993,1.01546,1.07424,1.32397,0.71177,0.52581,0.53215,0.3527,1.39907,1.80267,1.785,0.000396262,0.000396262,0.000396262
75,720.625,1.07116,1.08622,1.3581,0.68613,0.59299,0.583,0.37821,1.45572,1.66544,1.86078,0.000382115,0.000382115,0.000382115
76,730.648,1.11273,1.10608,1.34435,0.64976,0.65646,0.64461,0.42756,1.4219,1.53998,1.83426,0.000367967,0.000367967,0.000367967
77,740.115,1.05155,1.10923,1.31663,0.71379,0.61673,0.65095,0.44382,1.40567,1.52204,1.79926,0.00035382,0.00035382,0.00035382
78,750.07,1.0025,0.9931,1.30569,0.6976,0.56911,0.62891,0.42405,1.43464,1.65514,1.80428,0.000339673,0.000339673,0.000339673
79,759.603,1.02233,1.01893,1.33152,0.64135,0.58096,0.60446,0.39819,1.4321,1.65982,1.7997,0.000325526,0.000325526,0.000325526
80,769.254,1.0347,1.00916,1.31544,0.68226,0.61694,0.61199,0.39286,1.48379,1.59344,1.87696,0.000311379,0.000311379,0.000311379
81,778.999,1.02311,1.02307,1.3133,0.71596,0.62541,0.61472,0.42401,1.39914,1.53841,1.80617,0.000297232,0.000297232,0.000297232
82,788.731,1.02796,1.05686,1.32849,0.69721,0.63982,0.60445,0.40805,1.42871,1.55293,1.81655,0.000283085,0.000283085,0.000283085
83,798.254,1.00759,0.99098,1.30431,0.64099,0.62002,0.5916,0.38164,1.44348,1.68241,1.8849,0.000268938,0.000268938,0.000268938
84,807.843,1.00176,1.03803,1.30137,0.61518,0.61333,0.54906,0.36064,1.5013,1.69902,1.95192,0.000254791,0.000254791,0.000254791
85,817.651,1.0078,0.99401,1.30595,0.68156,0.57696,0.57405,0.37793,1.45723,1.72328,1.88674,0.000240644,0.000240644,0.000240644
86,827.667,0.95682,0.97554,1.28686,0.66452,0.59085,0.58784,0.38711,1.41154,1.69912,1.84084,0.000226497,0.000226497,0.000226497
87,837.522,1.02027,1.0255,1.32609,0.68957,0.57553,0.57369,0.38619,1.4336,1.66742,1.85648,0.000212349,0.000212349,0.000212349
88,847.269,0.99225,0.96515,1.29361,0.7722,0.59681,0.62994,0.41,1.43337,1.59102,1.84286,0.000198202,0.000198202,0.000198202
89,857.075,1.00792,1.02563,1.31235,0.75672,0.5893,0.625,0.40423,1.42632,1.62166,1.84982,0.000184055,0.000184055,0.000184055
90,866.667,0.95854,0.95633,1.29502,0.71323,0.5931,0.58419,0.38364,1.44551,1.72521,1.88653,0.000169908,0.000169908,0.000169908
91,894.138,0.869,0.93221,1.22213,0.7104,0.63927,0.60549,0.39,1.42078,1.64325,1.85129,0.000155761,0.000155761,0.000155761
92,903.469,0.84579,0.86597,1.2325,0.69893,0.66686,0.60472,0.39689,1.40913,1.55989,1.84748,0.000141614,0.000141614,0.000141614
93,912.925,0.86251,0.88745,1.24907,0.70646,0.65883,0.61206,0.40064,1.37881,1.59385,1.80805,0.000127467,0.000127467,0.000127467
94,922.236,0.81861,0.86127,1.21513,0.74408,0.59918,0.60633,0.39973,1.37637,1.72,1.79701,0.00011332,0.00011332,0.00011332
95,932.614,0.83776,0.86184,1.23059,0.70169,0.62279,0.59846,0.40176,1.37306,1.64898,1.80398,9.91726e-05,9.91726e-05,9.91726e-05
96,942.317,0.84842,0.88381,1.24908,0.7199,0.62362,0.61547,0.40466,1.37525,1.58041,1.80209,8.50255e-05,8.50255e-05,8.50255e-05
97,951.601,0.80897,0.8253,1.19877,0.70474,0.60319,0.61038,0.40051,1.36698,1.59423,1.78929,7.08784e-05,7.08784e-05,7.08784e-05
98,961.338,0.79901,0.81834,1.20323,0.71326,0.6158,0.60458,0.39634,1.36499,1.5764,1.78887,5.67313e-05,5.67313e-05,5.67313e-05
99,971.27,0.79482,0.82071,1.18791,0.75505,0.60156,0.60311,0.39005,1.37319,1.59838,1.79609,4.25842e-05,4.25842e-05,4.25842e-05
100,980.868,0.82326,0.8655,1.19747,0.70124,0.61585,0.60437,0.39464,1.37544,1.61227,1.80431,2.84371e-05,2.84371e-05,2.84371e-05
